Park ID,Park Name,Location Description,District,Classification Type,Neighbourhood,Electoral Ward,Total Area in Hectares,Water Area in Hectares
1381,The Oaks Forest,85 Oak Forest Cres,North,Nature,ASSINIBOIA DOWNS,Charleswood - Tuxedo - Westwood,5.137701,0
1385,Parc Elz茅ar Goulet Park,755 Tache Ave,East,Linkage,NORTH ST. BONIFACE,St. Boniface,4.269912,0.095939
1387,Blue Stem Nature Park,551 Empress St E,North,Nature,POLO PARK,St. James,3.519673,0.328952
1384,Alexander-Pacific Walk,E of 549 Pacific Ave & E of 546 Alexander Ave,North Downtown,Linkage,CENTENNIAL,Point Douglas,0.048295,0
1389,Taggart Woods,720 Copeland St,East,Nature,TRANSCONA SOUTH,Transcona,2.644999,0
139,Mostyn Place Park,14 Granite Wy,North Downtown,Linkage,LEGISLATURE,Fort Rouge - East Fort Garry,2.291348,0.158339
1397,Creek Bend Riverbank,S of 99 Creek Bend Rd,East,Review - Will be reviewed by Naturalists,DAKOTA CROSSING,St. Norbert - Seine River,3.639786,0
1399,Shorehill Riverbank,E of 735 St. Anne's Rd at Shorehill Dr,East,Nature,DAKOTA CROSSING,St. Norbert - Seine River,0.730368,0
1404,Fort Douglas Park,401 Waterfront Dr,North Downtown,Linkage,SOUTH POINT DOUGLAS,Point Douglas,1.417888,0.034843
1479,Forrest Tot Lot,221 Forrest Ave,North,Neighbourhood,JEFFERSON,Mynarski,0.022416,0
1407,Shorehill Bridgetown Park,S side of Shorehill Dr at Bridgetown Dr,East,Neighbourhood,ROYALWOOD,St. Vital,0.304787,0
1408,La Salle River Greenway-C,"N of 4394 Waverley Rd,  RM of Richot RL64 Plan 3762",South,Nature,TRAPPISTES,Outside City Limit,0.814399,0
1409,Camp Amisk,4394 Waverley St,South,Linkage,PERRAULT,St. Norbert - Seine River,56.310321,5.068379
1412,Frog Plain Park,60 Frog Plain Wy,North,Neighbourhood,RIVERBEND,North Kildonan,1.790375,0.186427
1415,Keslar Park,91 Keslar Rd,South,Neighbourhood,FAIRFIELD PARK,Waverley West,2.858684,1.9114
1410,Shorehill Demetrioff Park,W of Shorehill Dr at Demetrioff Dr,East,Neighbourhood,ROYALWOOD,St. Vital,4.399701,3.576994
142,Valour C.C-Clifton Site,1315 Strathcona St,North,Community,SARGENT PARK,Daniel McIntyre,7.230273,0
826,Boni-Vital Greenway South B,S of 2360 St Marys Rd,East,Linkage,RIVER PARK SOUTH,St. Norbert - Seine River,0.960751,0.093454
1413,Highbury Walkway South,S Aldgate Rd between Scammel Rd & Tilstone By,East,Linkage,RIVER PARK SOUTH,St. Norbert - Seine River,0.121189,0
143,Westview Park,1 Midland St,North,Community,ST. JAMES INDUSTRIAL,St. James,11.340405,0
1436,Lindenwoods Park,E end of Edmond Muys Pl,South,Linkage,LINDEN WOODS,River Heights - Fort Garry,3.673277,0
144,Richard Buffer West,S side of Richard Ave between Valour Rd & Spruce St,North,Buffer,SARGENT PARK,Daniel McIntyre,0.191719,0
1442,Abbeydale Path,Between 115 & 123 Abbeydale Cres,South,Linkage,BRIDGWATER FOREST,Waverley West,0.031829,0
1443,Seine River Greenway-Prairie Grove,Behind 1691 St. Anne's Rd,East,Nature,ST. VITAL PERIMETER SOUTH,St. Norbert - Seine River,0.465299,0.034714
1447,Birmingham Place Park,Birmingham Pl at Lindmere Dr,South,Neighbourhood,LINDEN WOODS,River Heights - Fort Garry,0.088405,0
1451,Matt Jonsson Memorial Skatepark,950 Sturgeon Rd,North,Neighbourhood,HERITAGE PARK,St. James,1.322718,0
146,Valour C.C-Isaac Brock Site,715 Telfer St N,North,Community,MINTO,Daniel McIntyre,1.025443,0
1460,Agnes-St. Matthew Greenspace,354 Agnes St,North Downtown,Neighbourhood,ST. MATTHEWS,Daniel McIntyre,0.081293,0
147,Clifton Bay Park-4,Opposite 959 Clifton St,North,Neighbourhood,SARGENT PARK,Daniel McIntyre,0.201345,0
148,Clifton Bay Park-1,Opposite 1015 Clifton St,North,Neighbourhood,SARGENT PARK,Daniel McIntyre,0.228898,0
1482,Vermette Park Site,Between 1567 & 1617 St. Anne's Rd,East,Neighbourhood,ST. VITAL PERIMETER SOUTH,St. Norbert - Seine River,4.026414,0.270875
1484,Southside Park,"W side of Southside Dr, between Bridgetown Dr & Northport By",East,Neighbourhood,ROYALWOOD,St. Vital,2.295847,1.87528
1485,Keslar Pond Access South,84 Raphael St,South,Fragment,FAIRFIELD PARK,Waverley West,0.325057,0
149,Richard Buffer East,S side of Richard Ave between Clifton St & Spruce St,North,Buffer,SARGENT PARK,Daniel McIntyre,0.136538,0
1492,Sturgeon Road and Silver Avenue Dog Park,NE Sturgeon Rd & Murray Park Rd,North,"Review - Will be reviewed by Naturalists, otherwise Neighbourhood",MURRAY INDUSTRIAL PARK,St. James,2.743441,0
150,Clifton Bay Park-2,Oppostie 1184 Clifton St,North,Neighbourhood,SARGENT PARK,Daniel McIntyre,0.16352,0
1478,Sargent Tommy Prince MM Veterans Park,100 Battery St,North,Community,DUFFERIN,Mynarski,2.659739,0
15,Baltimore Pumping Station,250 Churchill Dr,South,Linkage,RIVERVIEW,Fort Rouge - East Fort Garry,0.164845,0.004997
151,Clifton Bay Park-3,Opposite 1208 Clifton St,North,Neighbourhood,SARGENT PARK,Daniel McIntyre,0.163338,0
1511,Burland Window Park,S side Burland Ave between Westbourne Cres & Southfields Dr,East,Neighbourhood,RIVER PARK SOUTH,St. Norbert - Seine River,0.223235,0
761,Ashdale Greenspace,"E side Lyndale Dr, N of Highfield St",East,Buffer,NORWOOD WEST,St. Boniface,0.246762,0
1512,Bellemer Park,120 Bellemer Dr,South,Neighbourhood,PARC LA SALLE,St. Norbert - Seine River,1.071075,0
153,Valour C.C-Orioles Site,444 Burnell St,North,Community,ST. MATTHEWS,Daniel McIntyre,0.967608,0
156,Jacob Penner Park,659 Wellington Ave,North Downtown,Neighbourhood,DANIEL McINTYRE,Daniel McIntyre,1.36716,0
157,Maryland Tot Lot,701 Maryland St,North Downtown,Neighbourhood,DANIEL McINTYRE,Daniel McIntyre,0.118587,0
1535,Minerva Properties,"15, 25, 35 Minerva Ave",South,Nature,PERRAULT,St. Norbert - Seine River,7.782894,0.357802
1539,Deer Lodge C.C,324 Bruce Ave,North,Community,DEER LODGE,St. James,0.783171,0
154,Home Playground,772 Sargent Ave,North Downtown,Neighbourhood,DANIEL McINTYRE,Daniel McIntyre,0.197972,0
155,Simcoe Tot Lot,330 Simcoe St,North Downtown,Neighbourhood,ST. MATTHEWS,Daniel McIntyre,0.076228,0
158,Furby Tot Lot,505 Furby St,North Downtown,Neighbourhood,SPENCE,Daniel McIntyre,0.160018,0
159,Spence Tot Lot,636 Spence St,North Downtown,Neighbourhood,SPENCE,Daniel McIntyre,0.084989,0
161,Saigon Park,485 Ellice Ave,North Downtown,Neighbourhood,SPENCE,Daniel McIntyre,0.074218,0
162,Air Canada Window Park,345 Portage Ave,North Downtown,Neighbourhood,PORTAGE-ELLICE,Daniel McIntyre,0.181355,0
163,Pascoe Playground,155 Jordan St,North,Neighbourhood,WESTON,Point Douglas,1.647732,0
1847,Archambault Park,69 McLellan Dr,East,Neighbourhood,GRASSIE,Transcona,5.104365,1.879443
1633,South St. Vital Greenway-6,E side of Dakota St to Balham St,East,Linkage,DAKOTA CROSSING,St. Norbert - Seine River,0.319256,0
1638,Churchill Drive Park,430 Churchill Dr,South,Community,RIVERVIEW,Fort Rouge - East Fort Garry,21.075399,1.18183
1657,Churchill Drive Community Gardens,200 Churchill Dr,South,Community,RIVERVIEW,Fort Rouge - East Fort Garry,5.803086,0.164938
780,Florence Pierce Park,780 St. Mary's Rd,East,Neighbourhood,NORBERRY,St. Vital,0.069415,0
781,Ducharme Park,65 Morrow Ave,East,Neighbourhood,ALPINE PLACE,St. Vital,0.346285,0
1658,Southbridge-Willowlake Riverbank,E of Southbridge Dr at Willowlake Cres,East,Linkage,NIAKWA PLACE,St. Boniface,6.630726,0.084078
166,Stephen Juba Park,65 Bannatyne Ave,North Downtown,Linkage,EXCHANGE DISTRICT,Point Douglas,2.592796,0
223,Strathmillan Lodge Park,295 Strathmillan Rd,North,Neighbourhood,SILVER HEIGHTS,St. James,0.352533,0
1660,Halter Park,W side of Raglan Rd between Portage Ave & Wolseley Ave,North,Nature,WOLSELEY,Daniel McIntyre,0.910806,0
1661,Dakota-Tufnell Buffer,"W side of Dakota Street, N of Paddington Rd",East,Buffer,RIVER PARK SOUTH,St. Norbert - Seine River,0.09525,0
1665,Northeast Pioneers Greenway-North,W of Gateway Rd between Glenway Ave & McLeod Ave,East,Linkage,SPRINGFIELD NORTH,North Kildonan,9.369115,0
1666,Northeast Pioneers Greenway-South,W of Gateway Rd between McLeod Ave & Talbot Ave (fitness station located at 135 Gateway Rd),East,Linkage,VALLEY GARDENS,Elmwood - East Kildonan,11.371889,0
1668,La Salle River Greenway-A,W of 80 Ruines du Monastere,South,Nature,TRAPPISTES,St. Norbert - Seine River,6.036568,0.145331
167,Roosevelt Park,534 Elgin Ave,North Downtown,Neighbourhood,CENTENNIAL,Point Douglas,0.549024,0
172,Pacific Avenue Tot Lot,420 Pacific Ave,North Downtown,Neighbourhood,CENTENNIAL,Point Douglas,0.094326,0
1768,Beecher Tot Lot,619 Beecher Ave,North,Neighbourhood,TEMPLETON-SINCLAIR,Old Kildonan,0.121326,0
178,Dufferin Park,605 Alexander Ave,North Downtown,Neighbourhood,CENTENNIAL,Point Douglas,0.811538,0
181,Logan Triangle,W of 1322 Logan Ave,North,Fragment,WESTON,Point Douglas,0.041678,0
168,Elgin Lane Buffer,"Between Arlington St & McPhillips St, S of Elgin Ave",North,Buffer,WEST ALEXANDER,Point Douglas,0.095999,0
169,Campion Tot Lot,1436 William Ave W,North,Neighbourhood,WESTON,Point Douglas,0.29099,0
171,Ross Ellen Park,405 Ross Ave,North Downtown,Neighbourhood,CENTENNIAL,Point Douglas,0.091622,0
182,Weston Triangle,Weston St at Alexander Ave,North,Fragment,WESTON,Point Douglas,0.020829,0
179,Charlie Gardiner Arena Grounds,799 Logan Ave,North Downtown,Community,LOGAN-C.P.R.,Point Douglas,1.736477,0
183,Weston Park,299 Lock St,North,Neighbourhood,WESTON,Point Douglas,0.719831,0
188,William Whyte Park,180 Higgins Ave,North Downtown,Neighbourhood,SOUTH POINT DOUGLAS,Point Douglas,0.068468,0
189,Stanley Knowles Park,1235 Logan Ave,North,Neighbourhood,WESTON,Point Douglas,1.404076,0
1907,Grandmont Park,225 Grandmont Blvd,South,Community,RICHMOND LAKES,St. Norbert - Seine River,5.249643,0.511259
191,David Johnston Memorial Park,324 Brooklyn St,North,Neighbourhood,KING EDWARD,St. James,0.011143,0
192,Brooklyn Street North Playground,402 Brooklyn St,North,Neighbourhood,KING EDWARD,St. James,0.035111,0
195,King Edward & Ness Playground,334 King Edward St,North,Neighbourhood,KING EDWARD,St. James,0.196173,0
196,King Edward & Silver Park,423 King Edward St,North,Neighbourhood,KING EDWARD,St. James,0.134585,0
198,Luigi D'Ottavio Park,371 Kensington St,North,Neighbourhood,KENSINGTON,St. James,0.037091,0
199,Jae Eadie Park,125 Parkside Dr,North,Neighbourhood,BRUCE PARK,St. James,0.611817,0.019582
2,Cheriton Park West,179 Cheriton Ave,East,Neighbourhood,KILDONAN DRIVE,North Kildonan,0.104544,0
200,Parkside Easement,Between 1752 Assiniboine Ave & 101 Parkside Dr,North,Linkage,BRUCE PARK,St. James,0.153042,0.013994
203,Collegiate Tennis Courts,447 Collegiate St,North,Neighbourhood,KING EDWARD,St. James,0.226719,0
206,Bord-Aire C.C,471 Hampton St,North,Community,KING EDWARD,St. James,1.063361,0
204,Collegiate Park,501 Collegiate St,North,Neighbourhood,KING EDWARD,St. James,0.151235,0
205,Marjorie Park,245 Marjorie St,North,Neighbourhood,KING EDWARD,St. James,0.34375,0
207,Norberry-Glenlee C.C,26 Molgat Ave,East,Community,NORBERRY,St. Vital,4.158737,0
210,Truro Creek Greenway-Albany East,E side Albany St S of Ness Ave & N of Bruce Ave,North,Linkage,DEER LODGE,St. James,0.825733,0.063458
227,Silver Greenway-1,S side Silver Ave between Ladywood Dr & Whytewold Rd,North,Linkage,JAMESWOOD,St. James,0.182459,0
21,Kinsmen Legacy Park,35 Bayview Pl,East,Neighbourhood,KILDARE-REDONDA,Transcona,2.18865,0
212,Truro Creek Greenway-Truro East,"N side of Bruce Ave, E of Truro St",North,Neighbourhood,DEER LODGE,St. James,0.179496,0
214,Truro Park,1955 Portage Ave,North,Linkage,DEER LODGE,St. James,1.955495,0.318387
219,J. Frank Johnston Park,2050 Ness Ave,North,Neighbourhood,DEER LODGE,St. James,0.675396,0
220,Linwood Lot,Between 263 & 255 Linwood St,North,Linkage,DEER LODGE,St. James,0.046889,0
221,Deer Lodge C.C,323 Bruce Ave,North,Community,DEER LODGE,St. James,0.843612,0
224,Leicester Square Playground,27 Leicester Sq,North,Neighbourhood,JAMESWOOD,St. James,1.125178,0
226,Silver-Moray Greenspace,"E side of Moray St, N of Ness Ave",North,Buffer,JAMESWOOD,St. James,0.377243,0
229,Silver Greenway-2,"N of Jameswood Dr, E of Whytewold Rd",North,Linkage,JAMESWOOD,St. James,2.881912,0
23,Seine River Greenway-Nova Vista,E of 677 St. Anne's Rd,East,Nature,DAKOTA CROSSING,St. Norbert - Seine River,2.258656,0
231,Woodhaven Boulevard Greenspace South,Between 141 & 147 Woodhaven Blvd,North,Neighbourhood,WOODHAVEN,St. James,0.124683,0
234,Assiniboine-Windham Riverbank,2608 Assiniboine Cres,North,Neighbourhood,BIRCHWOOD,St. James,0.23504,0
238,Golden Gate Park / Sturgeon Heights C.C,210 Rita St,North,Community,SILVER HEIGHTS,St. James,4.61234,0
239,Olive Greenspace,2464 Assiniboine Cres,North,Neighbourhood,BIRCHWOOD,St. James,0.127306,0.014646
978,South Winnipeg C.C-Waverley Heights Site,1885 Chancellor Dr,South,Community,WAVERLEY HEIGHTS,Waverley West,1.945746,0
979,Albrin Lake Park,40 Lake Albrin By,South,Neighbourhood,WAVERLEY HEIGHTS,Waverley West,1.733008,0
2407,Bois-des-esprits Window Park,650 Shorehill Dr,East,Neighbourhood,ROYALWOOD,St. Vital,1.244176,0
242,Sturgeon Road Buffer South,"E side of Sturgeon Rd, S of Emerald Grove Dr",North,Buffer,BOOTH,St. James,0.059395,0
2448,Odd Fellows Green,In front of 4025 Roblin Blvd,South,Buffer,RIDGEDALE,Charleswood - Tuxedo - Westwood,0.228767,0
246,Suzanne-Jeanette Bay Park,400 Gagnon St,North,Neighbourhood,GLENDALE,Charleswood - Tuxedo - Westwood,0.558018,0
244,Living Prairie Museum,2795 Ness Ave,North,Nature,BOOTH,St. James,18.430764,0
245,St. Charles Grove,300 Oxbow Bend Rd,North,Community,GLENDALE,Charleswood - Tuxedo - Westwood,6.442598,0
248,Bernadine Stradford Park,10 Stradford St,North,Neighbourhood,BUCHANAN,St. James,1.032724,0
25,McGowan Park,127 Rupertsland Blvd,North,Neighbourhood,SEVEN OAKS,Mynarski,0.819172,0
251,Isbister Park,535 Hamilton Ave,North,Neighbourhood,BUCHANAN,St. James,2.859222,0.340206
2517,Creek Bend-Perimeter Riverbank,Between Creek Bend Rd & Sioux Rd W,East,Nature,DAKOTA CROSSING,St. Norbert - Seine River,4.000123,0.369575
2519,Guy Savoie-Shady Shores Dr W Park,S side of Shady Shores Dr W between Mockingbird Ln & Seaside Dr,East,Neighbourhood,ST. BONIFACE INDUSTRIAL PARK,Transcona,1.522182,1.121249
252,Saskatchewan Avenue Greenway-2,"S side Saskatchewan Ave, W of Buchanan Blvd",North,Linkage,BUCHANAN,St. James,0.481561,0
253,Assiniboia West C.C,861 Buchanan Blvd,North,Community,CRESTVIEW,St. James,1.156157,0
259,Corbett Park,30 Corbett Dr,North,Neighbourhood,CRESTVIEW,St. James,0.216973,0
260,Optimist Park,1600 Summit Rd,North,Community,SASKATCHEWAN NORTH,St. James,17.697189,0
264,Voyageur Park,71 Voyageur Ave,North,Neighbourhood,CRESTVIEW,St. James,2.123388,0
254,Saskatchewan Avenue Greenway-3,S side Saskatchewan between Buchanan Blvd & Cavalier Dr,North,Linkage,CRESTVIEW,St. James,1.164346,0
257,South Lake Park,"Between South Lake Dr, Kay Cres, North Lake Dr & Normandy Dr",North,Neighbourhood,CRESTVIEW,St. James,1.017004,0.271345
2520,Parc Ron Duhamel Park,265 Sage Creek Blvd,East,Community,SAGE CREEK,St. Vital,2.473821,0
2521,Wild Iris Park,"W side of Wild Iris Wk, between Prairie Smoke Dr & Vireo Ln",East,Linkage,SAGE CREEK,St. Vital,1.526728,0.744258
261,Lake Ridge Park,41 Lake Ridge Rd,North,Neighbourhood,CRESTVIEW,St. James,0.85073,0
263,Muriel / Sage Park,836 Muriel St,North,Neighbourhood,CRESTVIEW,St. James,0.576976,0
266,Muriel Street Park,692 Muriel St,North,Neighbourhood,STURGEON CREEK,St. James,0.164066,0
268,Goodridge Park,34 Goodridge Cres,North,Neighbourhood,HERITAGE PARK,St. James,0.417655,0
269,Sturgeon Creek Parkway-B,3145 Ness Ave,North,Linkage,HERITAGE PARK,St. James,6.446812,1.126996
2707,Riddle-Strathcona Park,"S side Riddle Ave, E of Strathcona St",North,Neighbourhood,MINTO,Daniel McIntyre,0.059992,0
271,Rogan Drive Park,28 Rogan Dr,North,Neighbourhood,CRESTVIEW,St. James,0.557376,0
27,Rover Dike East,191 Syndicate St,North,Linkage,NORTH POINT DOUGLAS,Mynarski,1.561083,0.301564
270,Gibraltar Playground,47 Gibraltar By,North,Neighbourhood,CRESTVIEW,St. James,0.45765,0
272,Ridley Park,166A Ridley Pl,North,Neighbourhood,CRESTVIEW,St. James,0.256624,0
2727,La Porte Place Greenspace,Between 84 & 90 La Porte Dr,South,Greenfield - Future Park: Linkage,PARC LA SALLE,St. Norbert - Seine River,0.573679,0.052091
273,Cavalier Triangle,"E side of Cavalier Dr, S of Danbury By",North,Neighbourhood,CRESTVIEW,St. James,0.23632,0
278,Pat Phillips Park,115 Quail Ridge Rd,North,Community,HERITAGE PARK,St. James,4.285337,0
777,King George Park,5 Des Meurons St,East,Community,GLENWOOD,St. Vital,3.145432,0
274,Sturgeon Creek Parkway-C,62 Lonsdale Dr,North,Linkage,STURGEON CREEK,St. James,17.717312,2.778053
275,Amarynth Crescent Park,40 Amarynth Cres,North,Neighbourhood,STURGEON CREEK,St. James,0.196054,0
2809,Amber Trails Buffer,Buffer around the N side of the Amber Trails neighbourhood,North,Greenfield - Future Park: Buffer,AMBER TRAILS,Old Kildonan,2.198402,0
2807,Oak Lawn Park,243 Oak Lawn Rd,South,Neighbourhood,BRIDGWATER FOREST,Waverley West,1.890443,0
281,Coleridge Park,66 Coleridge Park Dr,North,Neighbourhood,WESTWOOD,Charleswood - Tuxedo - Westwood,0.437311,0.029146
2812,Amber Trails Path West,"S side of Mosselle Dr, W of Gemstone Cv",North,Linkage,AMBER TRAILS,Old Kildonan,1.130196,0
2818,Bison-Park East Park,47 Park East Dr,South,Greenfield - Future Park: Linkage,BRIDGWATER CENTRE,Waverley West,2.495462,0.713943
308,Marlow Court Tot Lot,98 Marlow Crt,North,Neighbourhood,THE MAPLES,Old Kildonan,0.185435,0
867,Wilkes Buffer,N side Wilkes Ave between Charleswood Rd & Municipal Rd,South,Buffer,WILKES SOUTH,Charleswood - Tuxedo - Westwood,1.258154,0
312,Maples C.C-James Nisbet Site / Marnie Tot Lot,85 Blechner Dr,North,Community,THE MAPLES,Old Kildonan,2.29936,0
80,St. Vital Memorial Park,100 Sunset Blvd,East,Community,ELM PARK,St. Vital,4.218867,0
2819,Bison-Jacob's Creek Park,233 Park East Dr,South,Greenfield - Future Park: Linkage,BRIDGWATER CENTRE,Waverley West,2.852486,0.933383
2820,Bison-Cooper's Town Park,198 Park West Dr,South,Greenfield - Future Park: Linkage,BRIDGWATER CENTRE,Waverley West,3.424903,1.09814
2821,Bison-Park West Drive Park,368 Park West Dr,South,Greenfield - Future Park: Linkage,BRIDGWATER CENTRE,Waverley West,3.019472,1.051661
2825,Bridgwater Lakes Paths,Between 47 & 55 Water Bend Rd,South,Greenfield - Future Park: Linkage,BRIDGWATER LAKES,Waverley West,4.581503,2.075600276
2828,Water Bend Park,133 Bridge Lake Dr,South,Neighbourhood,BRIDGWATER LAKES,Waverley West,1.870446,0
2831,Bridgwater Lakes Park,200 Bridge Lake Dr,South,Greenfield - Future Park: Community,BRIDGWATER LAKES,Waverley West,4.140183,0
284,Reynolds Park,35 Reynolds By,North,Neighbourhood,WESTWOOD,Charleswood - Tuxedo - Westwood,0.580113,0
286,Canoe Bay Park,483 Sumach St,North,Neighbourhood,WESTWOOD,Charleswood - Tuxedo - Westwood,0.779508,0
2867,Burning Glass Park,250 Burning Glass Rd,East,Greenfield - Future Park: Linkage,SAGE CREEK,St. Vital,3.708051,1.549214
288,Erlandson Park,82 Cortez By,North,Neighbourhood,WESTWOOD,Charleswood - Tuxedo - Westwood,0.483555,0
287,Whitegates Park,246 Whitegates Cres,North,Neighbourhood,WESTWOOD,Charleswood - Tuxedo - Westwood,1.332901,0
2887,Union Tot Lot,404 Union Ave W,East,Neighbourhood,CHALMERS,Elmwood - East Kildonan,0.095899,0
289,John Steel Park,300 Westwood Dr,North,Neighbourhood,WESTWOOD,Charleswood - Tuxedo - Westwood,1.143901,0
29,Sturgeon Creek Parkway-E,S side of Portage Ave between Oakdean Blvd & Woodhaven Blvd,North,Linkage,BIRCHWOOD,St. James,2.347167,0.324601
290,Carroll Park,150 Carroll Rd,North,Neighbourhood,WESTWOOD,Charleswood - Tuxedo - Westwood,0.247491,0
291,Bedson Park,460 Bedson St,North,Neighbourhood,WESTWOOD,Charleswood - Tuxedo - Westwood,1.080519,0
2967,Highbury Walkway South,Between 79 & 83 Scammel Rd,East,Linkage,RIVER PARK SOUTH,St. Norbert - Seine River,0.151689,0
30,Deniset Park,540 Deniset St,East,Nature,ARCHWOOD,St. Boniface,1.893467,0
292,Kirkfield-Westwood C.C-McBey Site,3160 McBey Ave,North,Community,KIRKFIELD,Charleswood - Tuxedo - Westwood,2.077219,0
295,Omand's Creek Park North,N side of Logan Ave between Omands Creek Blvd & Brookside Blvd,North,Linkage,OMAND'S CREEK INDUSTRIAL,Point Douglas,4.16843,0.419208
298,Tokarz Park,840 Beecher Ave,North,Neighbourhood,TEMPLETON-SINCLAIR,Old Kildonan,2.454889,0
299,Swailes Park,857 Swailes Ave,North,Neighbourhood,TEMPLETON-SINCLAIR,Old Kildonan,0.857764,0
300,McBeth House & Grounds,31 McBeth St,North,Nature,RIVERGROVE,North Kildonan,6.223179,0
341,Helen Promislow Park,295 Kingsbury Ave,North,Neighbourhood,JEFFERSON,Mynarski,0.281365,0
342,Kingsbury-Andrews Park,407 Kingsbury Ave,North,Neighbourhood,JEFFERSON,Mynarski,0.210229,0
302,McBeth Park Playground,645 Rivergrove Dr,North,Neighbourhood,RIVERGROVE,North Kildonan,0.522983,0
304,Riverbend Park,45 Vince Leah Dr,North,Community,RIVERBEND,North Kildonan,7.983271,2.08171
348,Dakota Park / Dakota C.C,1188 Dakota St (west playground at 111 Sandrington Dr),East,Community,RIVER PARK SOUTH,St. Norbert - Seine River,21.622102,0
303,Rivergrove Park,675 Rivergrove Dr,North,Neighbourhood,RIVERGROVE,North Kildonan,0.962226,0
3047,Transcona Trail-A,"N side of Regent Ave W, E of Peguis St & N to Transcona Blvd",East,Linkage,REGENT,Transcona,1.701017,0
305,Kirkham Park,97 Kirkham By,North,Neighbourhood,RIVERBEND,North Kildonan,1.568766,0
3067,Transcona Trail-F,E side of Redonda St (N of Paulley Dr) E to the Perimeter Hwy,East,Linkage,TRANSCONA NORTH,Transcona,2.758658,0
3068,Transcona Trail-E,Between Day St & Redonda St,East,Linkage,TRANSCONA NORTH,Transcona,3.203271,0
307,Malden Close Park,55 Malden Cl,North,Neighbourhood,THE MAPLES,Old Kildonan,0.178633,0
31,Japanese Gardens,343 York Ave,North Downtown,Neighbourhood,SOUTH PORTAGE,Fort Rouge - East Fort Garry,0.299815,0
309,Manor House Tot Lot,50 Manor House Crt,North,Neighbourhood,THE MAPLES,Old Kildonan,0.195162,0
310,Madrigal-Marquis Tot Lot,16 Madrigal Cl,North,Neighbourhood,THE MAPLES,Old Kildonan,0.393536,0
366,Forest Park,8 Forest Park Dr,North,Neighbourhood,GARDEN CITY,Old Kildonan,0.395117,0
910,Grant Park Athletic Grounds,500 Nathaniel St,South,Community,GRANT PARK,River Heights - Fort Garry,9.25471,0
3680,Dakota Crossing Buffer,"N side of Frobisher Rd, behind Hallfield Pl to Cotswold Pl",East,Buffer,DAKOTA CROSSING,St. Norbert - Seine River,1.468128,0
369,Garden City C.C,725 Kingsbury Ave,North,Community,GARDEN CITY,Old Kildonan,11.834117,0
370,Chochinov Park,103 Garden Park Dr,North,Neighbourhood,TEMPLETON-SINCLAIR,Old Kildonan,1.401189,0
372,Consulate Park,6 Envoy Cres,North,Neighbourhood,TEMPLETON-SINCLAIR,Old Kildonan,0.421884,0
311,Neville-Margate Tot Lot,S of 66 Neville St,North,Neighbourhood,THE MAPLES,Old Kildonan,0.774835,0
912,Harrow Park,1000 Fleet Ave,South,Neighbourhood,ROCKWOOD,River Heights - Fort Garry,1.134532,0
913,Warsaw Crescent Park,Warsaw Ave at Warsaw Cres,South,Neighbourhood,ROCKWOOD,River Heights - Fort Garry,0.081016,0
914,McMillan-Thurso Island,"Between Cambridge St, McMillan Ave, Thurso St & Corydon Ave",South,Fragment,CRESCENTWOOD,River Heights - Fort Garry,0.089358,0
313,Hiddleston Tot Lot,38 Hiddleston Cres,North,Neighbourhood,THE MAPLES,Old Kildonan,1.42563,0
314,Carleton-Mandan Tot Lot,30 James Carleton Dr,North,Neighbourhood,THE MAPLES,Old Kildonan,0.25488,0
388,Markian Shashkevich Park,164 Hallet St,North,Neighbourhood,NORTH POINT DOUGLAS,Mynarski,0.224248,0
83,Egerton-Essex Riverbank,E side Egerton Rd at Essex Ave,East,Neighbourhood,GLENWOOD,St. Vital,0.124804,0.007843
915,Taylor Green Strip-4,N side Taylor Ave E of Ash St,South,Buffer,SOUTH RIVER HEIGHTS,River Heights - Fort Garry,0.488271,0
917,William Osler Park,787 Brock St,South,Neighbourhood,SOUTH RIVER HEIGHTS,River Heights - Fort Garry,1.474061,0
389,Turtle Island Community Centre,510 King St,North,Community,LORD SELKIRK PARK,Mynarski,1.522421,0
390,Robinson Park,N of 69 Robinson St,North,Neighbourhood,LORD SELKIRK PARK,Mynarski,0.195295,0
391,Immaculate Heart Playground,659 Stella Av,North,Neighbourhood,DUFFERIN,Mynarski,0.136841,0
92,Lyndale Drive Park North,20 Lyndale Dr,East,Neighbourhood,NORWOOD WEST,St. Boniface,1.687505,0
3147,Edward Turner-East Plains Park,169 Edward Turner Dr,East,Greenfield - Future Park: Linkage,SAGE CREEK,St. Vital,1.422369,0.448566
315,Councillor Bay Tot Lot,92 Councillor By,North,Neighbourhood,THE MAPLES,Old Kildonan,0.275561,0
3150,Luzon Bay Park,97 Luzon By,North,Neighbourhood,ROSSER-OLD KILDONAN,Old Kildonan,1.185451,0
394,Pritchard Playground,295 Pritchard Ave,North,Neighbourhood,WILLIAM WHYTE,Mynarski,0.543551,0
920,Sir John Franklin Park East,W of 1345 Wellington Cr,South,Neighbourhood,WELLINGTON CRESCENT,River Heights - Fort Garry,0.858004,0.033149
921,Lindsay Buffer Strip A,Between Grosvenor Ave & Corydon Ave,South,Buffer,NORTH RIVER HEIGHTS,River Heights - Fort Garry,0.482615,0
317,Manila-Jefferson Tot Lot,58 Manila Rd,North,Neighbourhood,THE MAPLES,Old Kildonan,0.759394,0
